state_id,cluster_id,state,embedding
55,4,"('ChartLogic', 'StyleEdit', 'ParamAdjust')",-0.6281778812408447;0.35998815298080444
56,5,"('ChartLogic', 'StyleEdit', 'SessionInit')",-0.5718613266944885;-0.08599691838026047
57,14,"('ChartLogic', 'StyleEdit', 'StyleEdit')",-0.8463730812072754;0.21162208914756775
58,1,"('DataBind', 'ChartLogic', 'DataBind')",-0.6295194625854492;-0.3428827226161957
59,7,"('DataBind', 'ChartLogic', 'HelpSeek')",-0.7899043560028076;0.26425901055336
60,9,"('DataBind', 'DataBind', 'DataBind')",-0.756497859954834;-0.48352041840553284
61,6,"('DataBind', 'DataBind', 'DataParse')",-0.8563635945320129;0.2602611184120178
62,1,"('DataBind', 'DataBind', 'ErrorHandle')",-0.6839880347251892;-0.3438396155834198
63,11,"('DataBind', 'DataBind', 'HelpSeek')",-0.6070674061775208;0.06365792453289032
64,18,"('DataBind', 'DataBind', 'SessionInit')",-0.8097792267799377;0.01907833106815815
65,7,"('DataBind', 'DataParse', 'ChartLogic')",-0.7614520192146301;0.3182244598865509
66,15,"('DataBind', 'DataParse', 'DataBind')",-0.7418342232704163;-0.40468457341194153
67,19,"('DataBind', 'DataParse', 'DataParse')",-0.8037531971931458;-0.32054921984672546
68,1,"('DataBind', 'DataParse', 'ErrorHandle')",-0.7872328758239746;-0.432808518409729
69,6,"('DataBind', 'DataParse', 'HelpSeek')",-0.8589743971824646;0.19046519696712494
70,4,"('DataBind', 'DataParse', 'ParamAdjust')",-0.6467068195343018;0.3600480258464813
71,3,"('DataBind', 'DataParse', 'SampleExplore')",-0.8263495564460754;0.13952383399009705
72,12,"('DataBind', 'DataParse', 'SessionInit')",-0.7967007160186768;-0.16503435373306274
73,18,"('DataBind', 'DataParse', 'StyleEdit')",-0.787333607673645;0.223557248711586
74,7,"('DataBind', 'ErrorHandle', 'ChartLogic')",-0.6996161341667175;0.3517945110797882
75,9,"('DataBind', 'ErrorHandle', 'DataBind')",-0.744520902633667;-0.39187511801719666
76,2,"('DataBind', 'ErrorHandle', 'DataParse')",-0.7959126234054565;-0.40549853444099426
77,8,"('DataBind', 'ErrorHandle', 'ErrorHandle')",-0.8988131284713745;-0.04134798049926758
78,14,"('DataBind', 'ErrorHandle', 'HelpSeek')",-0.8993740677833557;-0.1212141215801239
79,10,"('DataBind', 'ErrorHandle', 'SampleExplore')",-0.7881604433059692;0.1625189185142517
80,12,"('DataBind', 'ErrorHandle', 'SessionInit')",-0.8012077212333679;0.13448402285575867
81,18,"('DataBind', 'ErrorHandle', 'StyleEdit')",-0.6718732714653015;0.14238907396793365
82,7,"('DataBind', 'HelpSeek', 'ChartLogic')",-0.6996161341667175;0.3517945110797882
83,9,"('DataBind', 'HelpSeek', 'DataBind')",-0.7658191919326782;-0.4093448519706726
84,2,"('DataBind', 'HelpSeek', 'DataParse')",-0.6877528429031372;-0.480349600315094
85,1,"('DataBind', 'HelpSeek', 'ErrorHandle')",-0.7241155505180359;-0.277377724647522
86,6,"('DataBind', 'HelpSeek', 'HelpSeek')",-0.8033771514892578;0.2904394268989563
87,4,"('DataBind', 'HelpSeek', 'ParamAdjust')",-0.6281778812408447;0.35998815298080444
88,3,"('DataBind', 'HelpSeek', 'SampleExplore')",-0.8199530839920044;-0.06461732089519501
89,16,"('DataBind', 'HelpSeek', 'SessionInit')",-0.7316275835037231;-0.2544569671154022
90,18,"('DataBind', 'HelpSeek', 'StyleEdit')",-0.7987093925476074;0.26411324739456177
91,9,"('DataBind', 'ParamAdjust', 'DataBind')",-0.6414414644241333;-0.46244391798973083
92,4,"('DataBind', 'ParamAdjust', 'ParamAdjust')",-0.7607049942016602;0.40683820843696594
